instance,method,category,seed,cost,reference_cost,gap_percent,routes,vehicle_count,is_valid,missing_customers_count,duplicated_customers_count,capacity_violations_count,train_time_sec,inference_time_sec,postprocess_time_sec,total_time_sec,episodes,notes,source_file,rank_by_cost
A-n37-k5,POMO-style multi-greedy,rl_main,44.0,1160.0,669.0,73.39312406576981,5,5,True,0,0,0,839.7447960000136,0.4665819999645464,0.0,840.2113779999781,500.0,POMO-style Active Search évalué en multi-greedy.,results\pomo\experiments_pomo.csv,11.0
A-n37-k5,POMO-style multi-greedy + 2-opt,rl_main_local_search,44.0,935.0,669.0,39.76083707025411,5,5,True,0,0,0,839.7447960000136,0.4665819999645464,0.0023064999841153,840.2136844999623,500.0,POMO-style multi-greedy amélioré par 2-opt intra-route.,results\pomo\experiments_pomo.csv,5.0
A-n37-k5,POMO-style sampled eval,rl_main,44.0,1112.0,669.0,66.21823617339312,5,5,True,0,0,0,839.7447960000136,8.735499500005972,0.0,848.4802955000196,500.0,POMO-style Active Search évalué par sampling (128 rollouts).,results\pomo\experiments_pomo.csv,10.0
A-n37-k5,POMO-style sampled eval + 2-opt,rl_main_local_search,44.0,923.0,669.0,37.96711509715994,5,5,True,0,0,0,839.7447960000136,8.735499500005972,0.0032365000224672,848.483532000042,500.0,POMO-style sampled eval amélioré par 2-opt intra-route.,results\pomo\experiments_pomo.csv,4.0
A-n37-k5,POMO-style best sampled,rl_main,44.0,1063.0,669.0,58.893871449925264,5,5,True,0,0,0,839.7447960000136,0.0,0.0,839.7447960000136,500.0,Meilleure solution valide rencontrée pendant l'active search.,results\pomo\experiments_pomo.csv,9.0
A-n37-k5,POMO-style best sampled + 2-opt,rl_main_local_search,44.0,912.0,669.0,36.32286995515695,5,5,True,0,0,0,839.7447960000136,0.0,0.0154287000186741,839.7602247000323,500.0,Meilleure solution active search améliorée par 2-opt intra-route.,results\pomo\experiments_pomo.csv,3.0
A-n37-k5,POMO-style multi-greedy,rl_main,45.0,1252.0,669.0,87.14499252615845,5,5,True,0,0,0,830.3406381999957,0.4922454999759793,0.0,830.8328836999717,500.0,POMO-style Active Search évalué en multi-greedy.,results\pomo\experiments_pomo.csv,11.0
A-n37-k5,POMO-style multi-greedy + 2-opt,rl_main_local_search,45.0,825.0,669.0,23.31838565022421,5,5,True,0,0,0,830.3406381999957,0.4922454999759793,0.0037408000207506,830.8366244999925,500.0,POMO-style multi-greedy amélioré par 2-opt intra-route.,results\pomo\experiments_pomo.csv,5.0
A-n37-k5,POMO-style sampled eval,rl_main,45.0,1113.0,669.0,66.3677130044843,5,5,True,0,0,0,830.3406381999957,9.27118059998611,0.0,839.6118187999818,500.0,POMO-style Active Search évalué par sampling (128 rollouts).,results\pomo\experiments_pomo.csv,10.0
A-n37-k5,POMO-style sampled eval + 2-opt,rl_main_local_search,45.0,840.0,669.0,25.56053811659193,5,5,True,0,0,0,830.3406381999957,9.27118059998611,0.0052155000157654,839.6170342999976,500.0,POMO-style sampled eval amélioré par 2-opt intra-route.,results\pomo\experiments_pomo.csv,4.0
A-n37-k5,POMO-style best sampled,rl_main,45.0,1084.0,669.0,62.03288490284006,5,5,True,0,0,0,830.3406381999957,0.0,0.0,830.3406381999957,500.0,Meilleure solution valide rencontrée pendant l'active search.,results\pomo\experiments_pomo.csv,9.0
A-n37-k5,POMO-style best sampled + 2-opt,rl_main_local_search,45.0,823.0,669.0,23.01943198804185,5,5,True,0,0,0,830.3406381999957,0.0,0.0133320000022649,830.353970199998,500.0,Meilleure solution active search améliorée par 2-opt intra-route.,results\pomo\experiments_pomo.csv,3.0
